,出現6次,出現5次,出現4次,出現3次,近一週（5交易日）融券餘額增加且近一月（20交易日）融券餘額增加且近一週（5交易日）券資比也增加,近一週（5交易日）融券餘額增加且券資比≥25%,過去三個月盤整且前一日跳空,今天成交量高於昨日成交量且今日之5日均量較昨日之5日均量成長30%以上,9週K.D 黃金交叉，K或D值在20以下,9日K.D 黃金交叉，K或D值在20以下,近30個交易日最高股價收盤價高於最低股價收盤價30%以上且目前股價低於該最高股價之4%以上，且出現下長T線，或十字線之周K線,外資連續買超5個交易日以上,投信連續買超5個交易日以上,大股東持股比率6個月以來增加5%以上,大股東持股比率連續3個月上升,近6月累積營收年增率連2個月增加,近12月累積營收年增率連2個月增加
53,,,,3211順達,9937全國,,,,6257矽格,1565精華,,,,6284佳邦,9930中聯資源,2376技嘉,2458義隆
54,,,,6244茂迪,4137麗豐-KY,,,,8016矽創,2351順德,,,,3090日電貿,9911櫻花,5820日盛金,6116彩晶
55,,,,2850新產,6023元大期,,,,3264欣銓,2331精英,,,,,2836高雄銀,6213聯茂,3661世芯-KY
56,,,,2375凱美,6803崑鼎,,,,2905三商,8406金可-KY,,,,,4532瑞智,1717長興,2889國票金
57,,,,6173信昌電,4935茂林-KY,,,,3218大學光,8358金居,,,,,3450聯鈞,3374精材,5264鎧勝-KY
58,,,,2836高雄銀,1103嘉泥,,,,4961天鈺,6191精成科,,,,,2489瑞軒,6147頎邦,6278台表科
59,,,,3450聯鈞,9925新保,,,,3006晶豪科,3691碩禾,,,,,2727王品,1907永豐餘,3152璟德
60,,,,1604聲寶,6464台數科,,,,3703欣陸,3035智原,,,,,6605帝寶,2449京元電子,2838聯邦銀
61,,,,4506崇友,4536拓凱,,,,1104環泥,1309台達化,,,,,1614三洋電,2812台中銀,6271同欣電
62,,,,3022威強電,3708上緯投控,,,,1565精華,3707漢磊,,,,,2102泰豐,6592和潤企業,3665貿聯-KY
63,,,,8210勤誠,2035唐榮,,,,2913農林,6244茂迪,,,,,2534宏盛,6269台郡,3036文曄
64,,,,2489瑞軒,5289宜鼎,,,,8406金可-KY,8163達方,,,,,8917欣泰,2201裕隆,6285啟碁
65,,,,2417圓剛,1702南僑,,,,8081致新,8213志超,,,,,3049和鑫,2458義隆,6531愛普
66,,,,6120達運,1218泰山,,,,2208台船,6177達麗,,,,,3090日電貿,6116彩晶,2108南帝
67,,,,4107邦特,1234黑松,,,,8358金居,3131弘塑,,,,,5508永信建,1210大成,2456奇力新
68,,,,5508永信建,2851中再保,,,,6191精成科,6173信昌電,,,,,,9917中保科,6005群益證
69,,,,1589永冠-KY,1419新紡,,,,3691碩禾,8462柏文,,,,,,2006東和鋼鐵,3005神基
70,,,,,6533晶心科,,,,3035智原,2401凌陽,,,,,,2889國票金,1736喬山
71,,,,,1905華紙,,,,2328廣宇,1604聲寶,,,,,,3189景碩,6412群電
72,,,,,2850新產,,,,1309台達化,8210勤誠,,,,,,5264鎧勝-KY,4174浩鼎
73,,,,,3228金麗科,,,,3211順達,2727王品,,,,,,6278台表科,6446藥華藥
74,,,,,6462神盾,,,,3707漢磊,3530晶相光,,,,,,3152璟德,8341日友
75,,,,,1537廣隆,,,,8163達方,6605帝寶,,,,,,9941裕融,1507永大
76,,,,,6541泰福-KY,,,,8213志超,2417圓剛,,,,,,6271同欣電,6561是方
77,,,,,3131弘塑,,,,5478智冠,6284佳邦,,,,,,3036文曄,2855統一證
78,,,,,2836高雄銀,,,,3228金麗科,5287數字,,,,,,2106建大,6414樺漢
79,,,,,6579研揚,,,,6177達麗,,,,,,,2441超豐,6146耕興
80,,,,,2704國賓,,,,3131弘塑,,,,,,,2439美律,5469瀚宇博
81,,,,,4167松瑞藥,,,,6173信昌電,,,,,,,6285啟碁,2501國建
82,,,,,8908欣雄,,,,8462柏文,,,,,,,6531愛普,1789神隆
83,,,,,8255朋程,,,,2836高雄銀,,,,,,,2108南帝,1785光洋科
84,,,,,5536聖暉,,,,1714和桐,,,,,,,2456奇力新,5306桂盟
85,,,,,6589台康生技,,,,2401凌陽,,,,,,,6005群益證,1808潤隆
86,,,,,1110東泥,,,,1604聲寶,,,,,,,3005神基,9940信義
87,,,,,1604聲寶,,,,4506崇友,,,,,,,1736喬山,6196帆宣
88,,,,,6277宏正,,,,8210勤誠,,,,,,,6412群電,1232大統益
89,,,,,4506崇友,,,,2727王品,,,,,,,3227原相,3016嘉晶
90,,,,,8942森鉅,,,,3530晶相光,,,,,,,1909榮成,6548長科*
91,,,,,6751智聯服務,,,,1614三洋電,,,,,,,4174浩鼎,2428興勤
92,,,,,1614三洋電,,,,2417圓剛,,,,,,,1536和大,6491晶碩
93,,,,,8404百和興業-KY,,,,6120達運,,,,,,,1304台聚,1795美時
94,,,,,4107邦特,,,,6284佳邦,,,,,,,1503士電,3680家登
95,,,,,9943好樂迪,,,,4107邦特,,,,,,,8341日友,3596智易
96,,,,,8917欣泰,,,,2010春源,,,,,,,1507永大,5388中磊
97,,,,,2010春源,,,,1711永光,,,,,,,2023燁輝,3324雙鴻
98,,,,,6576逸達,,,,2535達欣工,,,,,,,6561是方,3218大學光
99,,,,,1307三芳,,,,,,,,,,,8150南茂,4551智伸科
100,,,,,5287數字,,,,,,,,,,,3017奇鋐,6443元晶
101,,,,,,,,,,,,,,,,2231為升,3026禾伸堂
102,,,,,,,,,,,,,,,,4968立積,6230超眾
103,,,,,,,,,,,,,,,,6146耕興,3010華立
104,,,,,,,,,,,,,,,,5469瀚宇博,3413京鼎
105,,,,,,,,,,,,,,,,1785光洋科,4961天鈺
106,,,,,,,,,,,,,,,,2014中鴻,2481強茂
107,,,,,,,,,,,,,,,,5306桂盟,2393億光
108,,,,,,,,,,,,,,,,1808潤隆,4157太景*-KY
109,,,,,,,,,,,,,,,,6182合晶,6582申豐
110,,,,,,,,,,,,,,,,1232大統益,1598岱宇
111,,,,,,,,,,,,,,,,3019亞光,2515中工
112,,,,,,,,,,,,,,,,2373震旦行,4935茂林-KY
113,,,,,,,,,,,,,,,,6548長科*,9925新保
114,,,,,,,,,,,,,,,,2428興勤,4536拓凱
115,,,,,,,,,,,,,,,,6491晶碩,3708上緯投控
116,,,,,,,,,,,,,,,,2362藍天,2913農林
117,,,,,,,,,,,,,,,,6153嘉聯益,6504南六
118,,,,,,,,,,,,,,,,1795美時,2908特力
119,,,,,,,,,,,,,,,,3596智易,2421建準
120,,,,,,,,,,,,,,,,5388中磊,4919新唐
121,,,,,,,,,,,,,,,,8070長華*,1218泰山
122,,,,,,,,,,,,,,,,3545敦泰,1515力山
123,,,,,,,,,,,,,,,,8016矽創,1234黑松
124,,,,,,,,,,,,,,,,3324雙鴻,6191精成科
125,,,,,,,,,,,,,,,,3264欣銓,2387精元
126,,,,,,,,,,,,,,,,4551智伸科,3211順達
127,,,,,,,,,,,,,,,,3026禾伸堂,3707漢磊
128,,,,,,,,,,,,,,,,6230超眾,2850新產
129,,,,,,,,,,,,,,,,3312弘憶股,8163達方
130,,,,,,,,,,,,,,,,2312金寶,2031新光鋼
131,,,,,,,,,,,,,,,,1710東聯,1609大亞
132,,,,,,,,,,,,,,,,3010華立,8213志超
133,,,,,,,,,,,,,,,,4961天鈺,3228金麗科
134,,,,,,,,,,,,,,,,3006晶豪科,2478大毅
135,,,,,,,,,,,,,,,,3703欣陸,2375凱美
136,,,,,,,,,,,,,,,,2481強茂,3131弘塑
137,,,,,,,,,,,,,,,,2393億光,6173信昌電
138,,,,,,,,,,,,,,,,3704合勤控,3014聯陽
139,,,,,,,,,,,,,,,,4157太景*-KY,4576大銀微系統
140,,,,,,,,,,,,,,,,6582申豐,5471松翰
141,,,,,,,,,,,,,,,,3552同致,6472保瑞
142,,,,,,,,,,,,,,,,1598岱宇,6706惠特
143,,,,,,,,,,,,,,,,5425台半,4906正文
144,,,,,,,,,,,,,,,,2515中工,1582信錦
145,,,,,,,,,,,,,,,,4935茂林-KY,3078僑威
146,,,,,,,,,,,,,,,,1103嘉泥,2401凌陽
147,,,,,,,,,,,,,,,,2351順德,3450聯鈞
148,,,,,,,,,,,,,,,,4536拓凱,1256鮮活果汁-KY
149,,,,,,,,,,,,,,,,2913農林,3022威強電
150,,,,,,,,,,,,,,,,1305華夏,3217優群
151,,,,,,,,,,,,,,,,2908特力,8210勤誠
152,,,,,,,,,,,,,,,,1702南僑,2489瑞軒
153,,,,,,,,,,,,,,,,2421建準,1614三洋電
154,,,,,,,,,,,,,,,,4919新唐,2340光磊
155,,,,,,,,,,,,,,,,1218泰山,2417圓剛
156,,,,,,,,,,,,,,,,1515力山,6284佳邦
157,,,,,,,,,,,,,,,,2851中再保,1560中砂
158,,,,,,,,,,,,,,,,8358金居,3090日電貿
159,,,,,,,,,,,,,,,,4927泰鼎-KY,5287數字
160,,,,,,,,,,,,,,,,8112至上,5508永信建
161,,,,,,,,,,,,,,,,6191精成科,1589永冠-KY
162,,,,,,,,,,,,,,,,1309台達化,
163,,,,,,,,,,,,,,,,3211順達,
164,,,,,,,,,,,,,,,,3707漢磊,
165,,,,,,,,,,,,,,,,2850新產,
166,,,,,,,,,,,,,,,,8163達方,
167,,,,,,,,,,,,,,,,1609大亞,
168,,,,,,,,,,,,,,,,8213志超,
169,,,,,,,,,,,,,,,,1532勤美,
170,,,,,,,,,,,,,,,,2478大毅,
171,,,,,,,,,,,,,,,,2375凱美,
172,,,,,,,,,,,,,,,,6279胡連,
173,,,,,,,,,,,,,,,,3014聯陽,
174,,,,,,,,,,,,,,,,2363矽統,
175,,,,,,,,,,,,,,,,5471松翰,
176,,,,,,,,,,,,,,,,6472保瑞,
177,,,,,,,,,,,,,,,,4906正文,
178,,,,,,,,,,,,,,,,1582信錦,
179,,,,,,,,,,,,,,,,3078僑威,
180,,,,,,,,,,,,,,,,6643M31,
181,,,,,,,,,,,,,,,,2401凌陽,
182,,,,,,,,,,,,,,,,3450聯鈞,
183,,,,,,,,,,,,,,,,1110東泥,
184,,,,,,,,,,,,,,,,3022威強電,
